player,minutes_played,vaep_rating
A. Traore,202.7906146,1.099157218
Neymar,1856.207752,1.004731009
S. Jovetic,784.8701178,0.705576885
N. Fekir,2576.731738,0.66482723
M. Depay,2634.701474,0.619801366
K. Mitroglou,914.853806,0.582829049
F. Thauvin,3030.375695,0.572084844
Rony Lopes,2596.649231,0.547502859
E. Cavani,2655.411596,0.539264586
G. Carrillo,449.4278416,0.531799916
