player,minutes_played,vaep_rating
Mohamed Salah,2996.529579,0.825575238
Philippe Coutinho,1134.538547,0.725884755
Y. Toure,260.9855717,0.610783622
S. Aguero,2038.78522,0.578948086
E. Hazard,2505.438518,0.57643253
R. Mahrez,3063.065477,0.535250311
H. Kane,3203.994283,0.534400554
A. Martial,1650.191521,0.510474047
P. Aubameyang,1097.576549,0.504390775
K. De Bruyne,3190.369684,0.494568222
